game_date,home_team,away_team,predicted_total,actual_total,error
2026-01-02,UTA,LAC,223.32151228698865,219,4.32151228698865
2026-01-02,MIA,DET,238.65083056133682,230,8.650830561336818
2026-01-02,BOS,SAC,232.70846146864034,226,6.708461468640337
2026-01-02,PHI,DAL,242.82769484677306,231,11.827694846773056
2026-01-02,MEM,LAL,245.6768574331146,249,-3.3231425668853944
2026-01-02,OKC,GSW,231.78516336050046,225,6.785163360500462
2026-01-02,SAC,PHX,228.0198544991341,231,-2.9801455008658877
2026-01-02,POR,NOP,239.37803479685363,231,8.378034796853626
2026-01-02,CHA,MIL,235.3820687074865,243,-7.617931292513504
2026-01-02,ORL,CHI,238.17653021009764,235,3.1765302100976385
2026-01-02,ATL,NYK,253.56814681694368,210,43.56814681694368
2026-01-02,DEN,CLE,224.15083970214607,221,3.1508397021460723
2026-01-02,BKN,WAS,223.8994592453257,218,5.899459245325687
2026-01-02,SAS,IND,248.22221677149508,236,12.222216771495084
2026-01-03,SAS,POR,237.21276962015105,225,12.21276962015105
2026-01-03,IND,SAS,238.32443527978404,236,2.3244352797840406
2026-01-03,SAS,IND,235.240968770253,236,-0.759031229746995
2026-01-03,BKN,WAS,221.36520606813446,218,3.365206068134455
2026-01-03,DEN,CLE,227.5440861932902,221,6.544086193290212
2026-01-03,ATL,NYK,240.09122130242457,210,30.09122130242457
2026-01-03,WAS,BKN,215.66554547520542,218,-2.3344545247945803
2026-01-03,NYK,ATL,230.88113807341853,210,20.881138073418526
2026-01-03,CHI,ORL,239.41749157905195,235,4.417491579051955
2026-01-03,MIL,CHA,235.75894131539775,243,-7.241058684602251
2026-01-03,NOP,POR,236.73272382120652,231,5.73272382120652
2026-01-03,PHX,SAC,230.71708631690387,231,-0.2829136830961261
2026-01-03,LAC,BOS,224.2687520204202,261,-36.73124797957979
2026-01-03,GSW,OKC,232.4158276748289,225,7.415827674828904
2026-01-03,LAL,MEM,238.09660747131585,249,-10.90339252868415
2026-01-03,CLE,DEN,225.41020898733694,221,4.410208987336944
2026-01-03,MIA,MIN,234.74419929755538,240,-5.255800702444617
2026-01-03,NYK,PHI,233.60733502714396,249,-15.39266497285604
2026-01-03,TOR,ATL,219.87202001384435,251,-31.12797998615565
2026-01-03,MIN,MIA,234.49937308669286,240,-5.500626913307144
2026-01-03,PHI,NYK,235.02686638010823,249,-13.973133619891769
2026-01-03,ATL,TOR,218.1977212488735,251,-32.802278751126494
2026-01-03,CHA,CHI,244.79957039979274,211,33.79957039979274
2026-01-03,GSW,UTA,234.68868415627736,237,-2.311315843722639
2026-01-03,DAL,HOU,234.7517532095231,214,20.751753209523088
2026-01-03,POR,SAS,231.95879750042275,225,6.958797500422747
2026-01-03,HOU,DAL,228.77931544909111,214,14.779315449091115
2026-01-03,UTA,GSW,229.33354671260818,237,-7.666453287391818
2026-01-03,BOS,LAC,231.58435624770573,261,-29.415643752294272
2026-01-03,CHI,CHA,240.21532892996316,211,29.215328929963164
2026-01-03,ORL,CHI,229.62366639344958,235,-5.376333606550418
2026-01-03,MEM,LAL,242.6650944017726,249,-6.334905598227408
2026-01-03,SAC,PHX,234.57298292981793,231,3.5729829298179254
2026-01-03,OKC,GSW,227.50524762641476,225,2.505247626414757
2026-01-03,CHA,MIL,235.5168504298013,243,-7.483149570198691
2026-01-03,POR,NOP,238.3564461728928,231,7.356446172892788
2026-01-04,BKN,DEN,223.33652658820222,242,-18.66347341179778
2026-01-04,TOR,ATL,224.82651353528757,251,-26.173486464712425
2026-01-04,MIA,NOP,240.20988781226896,231,9.20988781226896
2026-01-04,CHI,CHA,231.8895377078652,211,20.889537707865202
2026-01-04,PHI,NYK,239.2615805720249,249,-9.738419427975089
2026-01-04,ATL,TOR,229.79669283815633,251,-21.203307161843668
2026-01-04,CHA,CHI,224.56551120136118,211,13.565511201361176
2026-01-04,POR,SAS,230.69995135086197,225,5.699951350861966
2026-01-04,HOU,DAL,224.3545442050891,214,10.354544205089098
2026-01-04,UTA,GSW,234.90221848601033,237,-2.0977815139896734
2026-01-04,BOS,LAC,234.46998779387982,261,-26.530012206120176
2026-01-04,DET,CLE,227.66454561925042,224,3.6645456192504184
2026-01-04,IND,ORL,229.69528157993682,262,-32.30471842006318
2026-01-04,ORL,IND,240.9608703771652,262,-21.039129622834793
2026-01-04,CLE,DET,226.438053866583,224,2.4380538665830045
2026-01-04,DEN,BKN,225.5460594634147,242,-16.453940536585293
2026-01-04,GSW,UTA,236.63590788296807,237,-0.36409211703193023
2026-01-04,DAL,HOU,218.6390750046662,214,4.639075004666211
2026-01-04,NYK,PHI,236.0819008461766,249,-12.918099153823391
2026-01-04,SAS,POR,226.4359440635521,225,1.435944063552114
2026-01-04,LAC,BOS,246.273347158744,261,-14.726652841255998
2026-01-04,NOP,MIA,236.16110490373586,231,5.161104903735861
2026-01-04,WAS,MIN,223.71581844287658,256,-32.28418155712342
2026-01-04,MIN,WAS,229.99875628985734,256,-26.00124371014266
2026-01-04,LAL,MEM,243.25427191411768,234,9.25427191411768
2026-01-04,PHX,OKC,229.75864637644347,213,16.758646376443465
2026-01-04,MEM,LAL,243.6327385061692,234,9.632738506169204
2026-01-04,MIL,SAC,236.97931075731827,213,23.979310757318274
2026-01-04,OKC,PHX,227.29770324888688,213,14.297703248886876
2026-01-04,SAC,MIL,234.0788820695147,213,21.07888206951469
2026-01-05,OKC,PHX,225.2100394104292,213,12.210039410429204
2026-01-05,MIL,SAC,229.1547939144488,213,16.15479391444879
2026-01-05,PHX,OKC,221.33877263484092,213,8.338772634840922
2026-01-05,SAC,MIL,225.17094036246203,213,12.170940362462034
2026-01-05,LAL,MEM,243.23076615968267,234,9.230766159682673
2026-01-05,MEM,LAL,242.29109066953131,234,8.291090669531314
2026-01-05,DET,NYK,232.65725741660387,211,21.65725741660387
2026-01-05,TOR,ATL,228.10405945194907,218,10.10405945194907
2026-01-05,HOU,PHX,218.87110163305533,197,21.871101633055332
2026-01-05,OKC,CHA,216.6303958256204,221,-4.369604174379589
2026-01-05,PHI,DEN,234.25588160031316,249,-14.74411839968684
2026-01-05,LAC,GSW,238.5126555257043,205,33.512655525704304
2026-01-05,POR,UTA,229.09382035838192,254,-24.90617964161808
2026-01-05,BOS,CHI,231.8884864988048,216,15.88848649880481
2026-01-05,GSW,LAC,238.9850095908592,205,33.98500959085919
2026-01-05,DEN,PHI,245.0324334215955,249,-3.967566578404501
2026-01-05,UTA,POR,233.9112712131025,254,-20.08872878689749
2026-01-05,CHA,OKC,217.17370666322,221,-3.8262933367799974
2026-01-05,NYK,DET,228.9345491184992,211,17.934549118499206
2026-01-05,CHI,BOS,227.56396450558225,216,11.563964505582248
2026-01-05,ATL,TOR,237.08070981520194,218,19.080709815201942
2026-01-05,PHX,HOU,211.96677522647548,197,14.966775226475477
2026-01-06,BOS,CHI,226.8197652953046,216,10.819765295304592
2026-01-06,DET,NYK,225.83839342327576,211,14.838393423275761
2026-01-06,OKC,CHA,220.161719382861,221,-0.8382806171389916
2026-01-06,TOR,ATL,227.08677856180776,218,9.086778561807762
2026-01-06,HOU,PHX,209.2201165078544,197,12.220116507854414
2026-01-06,PHI,DEN,242.53373018244378,249,-6.466269817556224
2026-01-06,LAC,GSW,227.77703720438464,205,22.77703720438464
2026-01-06,POR,UTA,237.62866723307118,254,-16.371332766928816
2026-01-06,UTA,POR,245.76038193251335,254,-8.239618067486646
2026-01-06,MIN,MIA,236.31261224977254,216,20.312612249772542
2026-01-06,MEM,SAS,238.65088127108552,211,27.650881271085524
2026-01-06,WAS,ORL,232.08428670431843,232,0.08428670431842988
2026-01-06,IND,CLE,230.1173460675638,236,-5.882653932436199
2026-01-06,NYK,DET,220.71441789161352,211,9.714417891613522
2026-01-06,CHI,BOS,221.79015434383172,216,5.790154343831716
2026-01-06,ATL,TOR,230.76084727813264,218,12.760847278132644
