game_date,home_team,away_team,predicted_total,actual_total,error,abs_error
2026-01-06,NOP,LAL,240.48031293400052,214,26.480312934000523,26.480312934000523
2026-01-07,WAS,ORL,234.4349564744755,232,2.4349564744755128,2.4349564744755128
2026-01-07,MEM,SAS,237.68277992568954,211,26.682779925689545,26.682779925689545
2026-01-07,MIN,MIA,243.1722309584604,216,27.172230958460403,27.172230958460403
2026-01-07,NOP,LAL,233.85255728726798,214,19.852557287267985,19.852557287267985
2026-01-07,SAC,DAL,220.04410404764343,198,22.04410404764343,22.04410404764343
2026-01-07,IND,CLE,236.9109418056537,236,0.9109418056536924,0.9109418056536924
2026-01-07,CHA,TOR,230.82581212305593,193,37.825812123055925,37.825812123055925
2026-01-07,MIL,GSW,229.35424329525068,233,-3.645756704749317,3.645756704749317
2026-01-07,DET,CHI,225.75360084413504,201,24.753600844135036,24.753600844135036
2026-01-07,PHI,WAS,234.71540242144496,241,-6.2845975785550365,6.2845975785550365
2026-01-07,ATL,NOP,232.52479879230123,217,15.524798792301226,15.524798792301226
2026-01-07,BOS,DEN,240.44080843738885,224,16.440808437388853,16.440808437388853
2026-01-07,BKN,ORL,234.80750219266275,207,27.807502192662753,27.807502192662753
2026-01-07,NYK,LAC,232.29393944652617,234,-1.706060553473833,1.706060553473833
2026-01-07,SAS,LAL,233.23834018740337,198,35.23834018740337,35.23834018740337
2026-01-07,HOU,POR,223.78048104651174,205,18.78048104651174,18.78048104651174
2026-01-07,MEM,PHX,224.86293663057862,215,9.862936630578616,9.862936630578616
2026-01-07,OKC,UTA,237.49261797932837,254,-16.507382020671628,16.507382020671628
2026-01-08,UTA,DAL,226.6392659417529,230,-3.3607340582470897,3.3607340582470897
2026-01-08,BOS,DEN,238.4058284292009,224,14.40582842920091,14.40582842920091
2026-01-08,PHI,WAS,236.320242512346,241,-4.679757487654001,4.679757487654001
2026-01-08,MIL,GSW,228.93527651883252,233,-4.064723481167476,4.064723481167476
2026-01-08,LAL,SAS,223.35301722260164,198,25.353017222601636,25.353017222601636
2026-01-08,HOU,POR,222.98003178285435,205,17.980031782854354,17.980031782854354
2026-01-08,CHA,IND,229.34278390000463,226,3.3427839000046333,3.3427839000046333
2026-01-08,MIN,CLE,229.0880110102383,253,-23.91198898976171,23.91198898976171
2026-01-08,OKC,UTA,235.21536719181773,254,-18.784632808182266,18.784632808182266
2026-01-08,MEM,PHX,221.17985558278644,215,6.179855582786445,6.179855582786445
2026-01-08,NYK,LAC,231.62905660354176,234,-2.3709433964582445,2.3709433964582445
2026-01-08,TOR,CHA,222.94523811814523,193,29.945238118145227,29.945238118145227
2026-01-08,CHI,DET,218.91675672782014,201,17.916756727820143,17.916756727820143
2026-01-08,BKN,ORL,226.88844299028673,207,19.888442990286734,19.888442990286734
2026-01-08,ATL,NOP,232.20821907858306,217,15.208219078583056,15.208219078583056
2026-01-09,NYK,PHX,223.3868899497472,219,4.3868899497472,4.3868899497472
2026-01-09,OKC,MEM,231.2984767633995,233,-1.701523236600508,1.701523236600508
2026-01-09,LAC,BKN,224.74449793353875,226,-1.255502066461247,1.255502066461247
2026-01-09,NOP,WAS,230.8915788997781,235,-4.1084211002219035,4.1084211002219035
2026-01-09,PHI,ORL,242.32147068596532,194,48.32147068596532,48.32147068596532
2026-01-09,ATL,DEN,232.06465953016564,197,35.06465953016564,35.06465953016564
2026-01-09,IND,CHA,227.4822706594578,226,1.4822706594578108,1.4822706594578108
2026-01-09,SAC,GSW,219.8480857612316,240,-20.1519142387684,20.1519142387684
2026-01-09,CLE,MIN,233.25765292012252,253,-19.742347079877476,19.742347079877476
2026-01-09,MIL,LAL,228.1672950624228,206,22.167295062422795,22.167295062422795
2026-01-09,DAL,UTA,227.2075940918823,230,-2.7924059081177006,2.7924059081177006
2026-01-09,HOU,POR,223.68020607640292,216,7.680206076402925,7.680206076402925
2026-01-09,TOR,BOS,223.13607660923904,242,-18.86392339076096,18.86392339076096
2026-01-10,DAL,CHI,224.1959432734272,232,-7.80405672657281,7.80405672657281
2026-01-10,MEM,OKC,233.27835820880597,233,0.27835820880596884,0.27835820880596884
2026-01-10,DEN,ATL,224.1024644667511,197,27.102464466751087,27.102464466751087
2026-01-10,BOS,TOR,226.83037160948928,242,-15.169628390510724,15.169628390510724
2026-01-10,ORL,PHI,227.86856173759486,194,33.86856173759486,33.86856173759486
2026-01-10,BKN,LAC,221.9283916494601,226,-4.07160835053989,4.07160835053989
2026-01-10,WAS,NOP,229.81102974113014,235,-5.188970258869858,5.188970258869858
2026-01-10,PHX,NYK,223.83622995353252,219,4.8362299535325235,4.8362299535325235
2026-01-10,GSW,SAC,223.85206220884663,240,-16.147937791153367,16.147937791153367
2026-01-10,POR,HOU,221.6881156235861,216,5.6881156235861,5.6881156235861
2026-01-10,LAL,MIL,223.79630988221948,206,17.796309882219475,17.796309882219475
2026-01-10,CLE,MIN,235.7848907502932,280,-44.21510924970681,44.21510924970681
2026-01-10,IND,MIA,239.47657594290303,222,17.476575942903025,17.476575942903025
2026-01-10,BOS,SAS,232.6014884780622,195,37.60148847806221,37.60148847806221
2026-01-10,LAC,DET,221.55626548496997,190,31.55626548496997,31.55626548496997
2026-01-10,UTA,CHA,227.29383635466561,245,-17.706163645334385,17.706163645334385
2026-01-11,TOR,PHI,225.83737183766402,231,-5.162628162335977,5.162628162335977
2026-01-11,POR,NYK,225.3407023179045,237,-11.659297682095513,11.659297682095513
2026-01-11,UTA,CHA,228.793185007589,245,-16.20681499241101,16.20681499241101
2026-01-11,CHI,DAL,220.61641843721821,232,-11.383581562781785,11.383581562781785
2026-01-11,BOS,SAS,223.3603189587906,195,28.3603189587906,28.3603189587906
2026-01-11,ORL,NOP,226.75026067093674,246,-19.24973932906326,19.24973932906326
2026-01-11,MEM,BKN,226.29276804295267,201,25.292768042952673,25.292768042952673
2026-01-11,LAC,DET,218.24470126913235,190,28.24470126913235,28.24470126913235
2026-01-11,MIA,IND,232.1027358662857,222,10.102735866285713,10.102735866285713
2026-01-12,PHX,WAS,228.00359703790994,205,23.00359703790994,23.00359703790994
2026-01-12,OKC,MIA,232.1153388068015,236,-3.8846611931984967,3.8846611931984967
2026-01-12,MIN,SAS,229.29649564141653,207,22.296495641416527,22.296495641416527
2026-01-12,DEN,MIL,221.31186135686085,212,9.311861356860845,9.311861356860845
2026-01-12,ATL,GSW,218.17398865633658,235,-16.826011343663424,16.826011343663424
2026-01-12,HOU,SAC,219.28413132776484,209,10.28413132776484,10.28413132776484
2026-01-13,BOS,IND,231.11611140762346,194,37.116111407623464,37.116111407623464
2026-01-13,UTA,CLE,245.06392842120187,235,10.063928421201865,10.063928421201865
2026-01-13,PHI,TOR,226.0879066049877,217,9.087906604987694,9.087906604987694
2026-01-13,BKN,DAL,219.19513923215123,218,1.1951392321512344,1.1951392321512344
2026-01-13,LAL,SAC,218.6766554539486,236,-17.323344546051402,17.323344546051402
2026-01-13,LAC,CHA,223.26761229301263,226,-2.7323877069873674,2.7323877069873674
2026-01-14,OKC,SAS,223.14690022202825,217,6.1469002220282505,6.1469002220282505
2026-01-14,MIA,PHX,223.27314484360883,248,-24.726855156391167,24.726855156391167
2026-01-14,HOU,CHI,213.12554528819402,232,-18.87445471180598,18.87445471180598
